SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_pIC50,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,p_IC50,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,acrylamide,chloroacetamide,series,frag_id
CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(C)C(O)CC12C,SAL-UNI-60119594-1,SAL-UNI-60119594-1,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
COC(C)(C)/C=C/C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C=O)CC[C@]12C,SAL-UNI-60119594-2,SAL-UNI-60119594-2,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,SAL-UNI-60119594-3,SAL-UNI-60119594-3,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,SAL-UNI-60119594-4,SAL-UNI-60119594-4,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
CC1=C[C@@H](c2c(O)cc(-c3cc4ccc(O)cc4o3)cc2O)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,SAL-UNI-60119594-5,SAL-UNI-60119594-5,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc2c1OC(=O)C2=C(C)C,SAL-UNI-60119594-6,SAL-UNI-60119594-6,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O)C5(C)C,SAL-UNI-60119594-7,SAL-UNI-60119594-7,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,SAL-UNI-60119594-8,SAL-UNI-60119594-8,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,SAL-UNI-60119594-9,SAL-UNI-60119594-9,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,SAL-UNI-60119594-10,SAL-UNI-60119594-10,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@]21O,ASA-WEI-839d033f-1,ASA-WEI-839d033f-1,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,,
O=C1N(c2cncc3ccccc23)CCC[C@]12CCOc1ccc(Cl)cc12,MAT-POS-e20a5dfb-1,MAT-POS-e20a5dfb-1,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C1N(c2cncc3ccccc23)CCC[C@@]12CCOc1ccc(Cl)cc12,MAT-POS-e20a5dfb-2,MAT-POS-e20a5dfb-2,,,#NUM!,,,,6.438163867,0.364616345,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,PET-UNK-14142a25-1,PET-UNK-14142a25-1,,,#NUM!,,,,4.085358489,82.15642093,,,,,,FALSE,FALSE,Ugi,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-976a33d5-1,EDJ-MED-976a33d5-1,,,#NUM!,,,,7.044005255,0.090363854,,,,,,FALSE,FALSE,Ugi,
CNC(=O)C1(N2CC3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-976a33d5-2,EDJ-MED-976a33d5-2,,,#NUM!,,,,6.577204613,0.264725262,,,,,,FALSE,FALSE,,
CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-69786b79-3,MAT-POS-69786b79-3,,,#NUM!,,,,6.567708105,0.270577634,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(-n2ccnc2)cc1,ALP-UNI-fe744232-1,ALP-UNI-fe744232-1,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
N#Cc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-3,ALP-UNI-fe744232-3,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
CCNC(=O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-9,ALP-UNI-fe744232-9,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
CC1(c2ccc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2)OCCO1,ALP-UNI-fe744232-11,ALP-UNI-fe744232-11,,,#NUM!,,,,4.080407079,83.09844957,,,,,,FALSE,FALSE,Ugi,
CNC(=O)Nc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-12,ALP-UNI-fe744232-12,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
O=C(Nc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1)NC1CC1,ALP-UNI-fe744232-13,ALP-UNI-fe744232-13,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
O=C(NCCO)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-17,ALP-UNI-fe744232-17,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
CC(C)(O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-18,ALP-UNI-fe744232-18,,,#NUM!,,,,4.57620862,26.53330685,,,,,,FALSE,FALSE,Ugi,
O=C(NCCCO)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-19,ALP-UNI-fe744232-19,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(C2(O)COC2)cc1,ALP-UNI-fe744232-22,ALP-UNI-fe744232-22,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,Ugi,
COCOc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-30,ALP-UNI-fe744232-30,,,#NUM!,,,,4.877888168,13.246826,,,,,,FALSE,FALSE,Ugi,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MIK-ENA-5d9157e9-1,MIK-ENA-5d9157e9-1,,,#NUM!,,,,7.301029987,0.050000001,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MIK-ENA-5d9157e9-2,MIK-ENA-5d9157e9-2,,,#NUM!,,,,4.870942023,13.46040035,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,MIK-ENA-5d9157e9-3,MIK-ENA-5d9157e9-3,,,#NUM!,,,,4.836583454,14.56855727,,,,,,FALSE,FALSE,Ugi,
CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,MIK-ENA-5d9157e9-4,MIK-ENA-5d9157e9-4,,,#NUM!,,,,7.015999064,0.09638311,,,,,,FALSE,FALSE,Ugi,
C[C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-5,MIK-ENA-5d9157e9-5,,,#NUM!,,,,6.669762828,0.213912997,,,,,,FALSE,FALSE,3-aminopyridine-like,
C[C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-6,MIK-ENA-5d9157e9-6,,,#NUM!,,,,5.429088802,3.723155694,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4c3CCCC4)C2=O)C1,EDJ-MED-705e09b8-1,EDJ-MED-705e09b8-1,,,#NUM!,,,,6.587951452,0.258254887,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5c4CCCC5)C3=O)C2)CC1,EDJ-MED-705e09b8-2,EDJ-MED-705e09b8-2,,,#NUM!,,,,6.288571686,0.514550867,,,,,,FALSE,FALSE,3-aminopyridine-like,
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CS(=O)(=O)C1,ALP-POS-ecbed2ba-1,ALP-POS-ecbed2ba-1,,,#NUM!,,,,6.842750721,0.143631362,,,,,,FALSE,FALSE,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCS(=O)(=O)CC1,ALP-POS-ecbed2ba-2,ALP-POS-ecbed2ba-2,,,#NUM!,,,,6.675959104,0.210882672,,,,,,FALSE,FALSE,,
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-3,ALP-POS-ecbed2ba-3,,,#NUM!,,,,6.576259717,0.265301853,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1CS(=O)(=O)C1)Cc1ccc(Cl)cc12,ALP-POS-ecbed2ba-5,ALP-POS-ecbed2ba-5,,,#NUM!,,,,6.452782012,0.352547783,,,,,,FALSE,FALSE,3-aminopyridine-like,
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-6,ALP-POS-ecbed2ba-6,,,#NUM!,,,,6.448109868,0.35636097,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-7,ALP-POS-ecbed2ba-7,,,#NUM!,,,,7.13537349,0.073219458,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCC1,ALP-POS-ecbed2ba-8,ALP-POS-ecbed2ba-8,,,#NUM!,,,,6.580543673,0.262697734,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,ALP-POS-ecbed2ba-9,ALP-POS-ecbed2ba-9,,,#NUM!,,,,6.742539712,0.180909048,,,,,,FALSE,FALSE,3-aminopyridine-like,
COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,ALP-POS-ecbed2ba-10,ALP-POS-ecbed2ba-10,,,#NUM!,,,,6.650189936,0.223774226,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCOCC1,ALP-POS-ecbed2ba-11,ALP-POS-ecbed2ba-11,,,#NUM!,,,,6.470654969,0.338333523,,,,,,FALSE,FALSE,,
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC1,ALP-POS-ecbed2ba-12,ALP-POS-ecbed2ba-12,,,#NUM!,,,,7.084208585,0.082374239,,,,,,FALSE,FALSE,3-aminopyridine-like,
CC(C)(C#N)CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-13,ALP-POS-ecbed2ba-13,,,#NUM!,,,,6.348768261,0.447952267,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CCNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-14,ALP-POS-ecbed2ba-14,,,#NUM!,,,,6.57991474,0.263078441,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCCC1,ALP-POS-ecbed2ba-15,ALP-POS-ecbed2ba-15,,,#NUM!,,,,6.611901595,0.244398426,,,,,,FALSE,FALSE,3-aminopyridine-like,
CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-16,ALP-POS-ecbed2ba-16,,,#NUM!,,,,6.212588744,0.612930533,,,,,,FALSE,FALSE,3-aminopyridine-like,
CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-17,ALP-POS-ecbed2ba-17,,,#NUM!,,,,6.390658907,0.406762673,,,,,,FALSE,FALSE,3-aminopyridine-like,
CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-18,ALP-POS-ecbed2ba-18,,,#NUM!,,,,6.249871687,0.562507494,,,,,,FALSE,FALSE,3-aminopyridine-like,
CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-19,ALP-POS-ecbed2ba-19,,,#NUM!,,,,6.155664908,0.698771352,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)N1CCC1)Cc1ccc(Cl)cc12,ALP-POS-ecbed2ba-20,ALP-POS-ecbed2ba-20,,,#NUM!,,,,6.481418477,0.330051357,,,,,,FALSE,FALSE,3-aminopyridine-like,
COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-21,ALP-POS-ecbed2ba-21,,,#NUM!,,,,6.003064499,0.992968567,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CCC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-22,ALP-POS-ecbed2ba-22,,,#NUM!,,,,6.472549636,0.336860713,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1CC2(CCN(c3cncc4cccc(Cl)c34)C2=O)c2cc(Cl)ccc2C1=O,MAT-POS-853c0ffa-1,MAT-POS-853c0ffa-1,,,#NUM!,,,,5.776243337,1.674004661,,,,,,FALSE,FALSE,Ugi,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cccc(Cl)c45)C3=O)C2)CC1,MAT-POS-853c0ffa-5,MAT-POS-853c0ffa-5,,,#NUM!,,,,5.108242637,7.793945469,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(F)cc(Cl)c45)C3=O)C2)CC1,MAT-POS-853c0ffa-6,MAT-POS-853c0ffa-6,,,#NUM!,,,,4.62324886,23.8095474,,,,,,FALSE,FALSE,,
CN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-853c0ffa-9,MAT-POS-853c0ffa-9,,,#NUM!,,,,6.793778532,0.160776092,,,,,,FALSE,FALSE,,
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)C2)CC1,MAT-POS-853c0ffa-10,MAT-POS-853c0ffa-10,,,#NUM!,,,,6.742668075,0.180855585,,,,,,FALSE,FALSE,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(F)cc45)C3=O)C2)CC1,MAT-POS-853c0ffa-13,MAT-POS-853c0ffa-13,,,#NUM!,,,,6.08200452,0.827933546,,,,,,FALSE,FALSE,3-aminopyridine-like,
CS(=O)(=O)c1ccc2c(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)cncc2c1,MAT-POS-853c0ffa-15,MAT-POS-853c0ffa-15,,,#NUM!,,,,6.985577445,0.103376674,,,,,,FALSE,FALSE,,
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)C2)CC1,MAT-POS-853c0ffa-16,MAT-POS-853c0ffa-16,,,#NUM!,,,,6.383982351,0.413064288,,,,,,FALSE,FALSE,,
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)C2)CC1,MAT-POS-853c0ffa-22,MAT-POS-853c0ffa-22,,,#NUM!,,,,6.809857132,0.154932621,,,,,,FALSE,FALSE,,
CNC(=O)CN1C[C@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-868e8996-1,LUO-POS-868e8996-1,,,#NUM!,,,,7.120481632,0.075773678,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-868e8996-2,LUO-POS-868e8996-2,,,#NUM!,,,,4.79335228,16.09339682,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1C[C@@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-868e8996-7,LUO-POS-868e8996-7,,,#NUM!,,,,6.911767413,0.122527222,,,,,,FALSE,FALSE,Ugi,
CNC(=O)CN1C[C@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-868e8996-8,LUO-POS-868e8996-8,,,#NUM!,,,,4.072780122,84.5706907,,,,,,FALSE,FALSE,Ugi,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1,LUO-POS-868e8996-9,LUO-POS-868e8996-9,,,#NUM!,,,,7.301029987,0.050000001,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1,LUO-POS-868e8996-10,LUO-POS-868e8996-10,,,#NUM!,,,,4.520302905,30.17846145,,,,,,FALSE,FALSE,3-aminopyridine-like,
C[C@@H]1NC(=O)c2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12,MAT-POS-777f5926-1,MAT-POS-777f5926-1,,,#NUM!,,,,6.343188392,0.453744745,,,,,,FALSE,FALSE,3-aminopyridine-like,
